country_long,gender,age
Italy,Male,28
Italy,Male,22
Italy,Male,25
Italy,Male,28
Italy,Female,21
Mexico,Male,25
Mexico,Male,26
Malaysia,Male,20
Georgia,Male,31
Romania,Male,23
Romania,Male,26
Romania,Male,28
Romania,Male,25
Romania,Male,26
Romania,Male,25
Romania,Male,32
Romania,Male,24
Romania,Male,29
Kosovo,Female,16
Morocco,Female,27
Georgia,Female,34
Morocco,Female,25
Uzbekistan,Male,25
Bulgaria,Female,29
Morocco,Female,33
Bulgaria,Female,30
Bulgaria,Female,18
Uzbekistan,Female,23
Uzbekistan,Female,22
Italy,Male,26
Italy,Male,23
Italy,Male,40
Italy,Male,25
Italy,Male,22
Italy,Male,22
Georgia,Male,31
Georgia,Male,30
Morocco,Male,31
Kosovo,Female,29
Puerto Rico,Male,29
Puerto Rico,Male,23
Cuba,Male,23
Mexico,Female,22
Mexico,Female,32
Mexico,Female,27
Mexico,Female,29
Cuba,Male,22
Mexico,Male,23
Mexico,Male,23
Barbados,Female,27
Mexico,Female,25
Barbados,Female,26
Malaysia,Male,31
Mauritius,Female,31
Mauritius,Female,29
Mauritius,Male,24
Chinese Taipei,Female,23
Romania,Male,25
Romania,Male,25
Romania,Male,24
Romania,Male,22
Romania,Male,27
Romania,Male,20
Seychelles,Male,25
Romania,Male,31
Romania,Male,26
Romania,Male,26
Romania,Male,27
Germany,Male,31
Germany,Male,25
Germany,Female,24
Italy,Female,23
Italy,Male,26
Italy,Male,25
Italy,Male,26
Italy,Female,31
Italy,Female,24
Italy,Female,26
Italy,Male,24
Italy,Male,30
Italy,Female,25
Italy,Female,32
Italy,Male,30
Italy,Female,23
Italy,Male,27
Italy,Female,27
Italy,Male,23
Italy,Male,22
Italy,Male,24
Italy,Female,26
Italy,Female,25
Italy,Male,31
Italy,Male,24
Italy,Female,31
Italy,Male,21
Italy,Male,26
Italy,Female,31
Italy,Female,28
Italy,Male,25
Italy,Male,25
Italy,Female,24
Italy,Female,27
Italy,Female,24
Italy,Female,24
Italy,Male,28
Italy,Female,30
Italy,Female,36
Bangladesh,Male,31
Mozambique,Male,21
Mozambique,Female,28
Italy,Male,32
Italy,Male,27
Italy,Male,39
Italy,Male,25
Italy,Female,28
Italy,Female,30
Italy,Male,30
Italy,Female,28
Italy,Female,24
Italy,Female,27
Italy,Male,25
Uzbekistan,Female,22
Georgia,Male,23
Italy,Female,30
Italy,Male,25
Italy,Male,29
Italy,Male,19
Italy,Female,22
Italy,Male,26
Italy,Female,30
Italy,Male,26
Italy,Male,33
Italy,Male,32
Italy,Male,27
Italy,Female,27
Italy,Female,28
